script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t6112-rev-list-filters-objects.sh,PASS,PASS,54,54,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6113-rev-list-bitmap-filters.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6114-keep-packs.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6115-rev-list-du.sh,PASS,PASS,17,17,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6120-describe.sh,PASS,PASS,133,133,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6130-pathspec-noglob.sh,PASS,PASS,21,21,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6131-pathspec-icase.sh,SKIP,SKIP,0,0,EXACT,PASS,0,0,0,eligible,INCOMPARABLE
t6132-pathspec-exclude.sh,PASS,PASS,31,31,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6133-pathspec-rev-dwim.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6134-pathspec-in-submodule.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6135-pathspec-with-attrs.sh,PASS,FAIL,37,37,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6136-pathspec-in-bare.sh,PASS,FAIL,3,3,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6137-pathspec-wildcards-literal.sh,PASS,PASS,25,25,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6200-fmt-merge-msg.sh,PASS,PASS,37,37,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6300-for-each-ref.sh,PASS,PASS,429,429,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6301-for-each-ref-errors.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6302-for-each-ref-filter.sh,PASS,PASS,62,62,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6400-merge-df.sh,PASS,PASS,7,7,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6401-merge-criss-cross.sh,PASS,PASS,4,4,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6402-merge-rename.sh,PASS,PASS,46,46,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6403-merge-file.sh,PASS,FAIL,39,39,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6404-recursive-merge.sh,PASS,FAIL,6,6,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6405-merge-symlinks.sh,PASS,PASS,7,7,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6406-merge-attr.sh,PASS,FAIL,13,13,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6407-merge-binary.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6408-merge-up-to-date.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6409-merge-subtree.sh,PASS,FAIL,12,12,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6411-merge-filemode.sh,PASS,FAIL,19,19,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6412-merge-large-rename.sh,PASS,PASS,10,10,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6413-merge-crlf.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6414-merge-rename-nocruft.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6415-merge-dir-to-symlink.sh,PASS,FAIL,24,24,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6416-recursive-corner-cases.sh,PASS,PASS,40,40,EXACT,PASS,0,0,0,eligible,COMPARABLE
