target,script,result,exit_code,pass,fail,todo,skip,total_cells,plan_total,abort,timeout,missing_cells,extra_cells
sley,t4044-diff-index-unique-abbrev.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t4052-stat-output.sh,PASS,0,91,0,0,0,91,91,0,0,0,0
sley,t4060-diff-submodule-option-diff-format.sh,PASS,0,51,0,0,0,51,51,0,0,0,0
sley,t4068-diff-symmetric-merge-base.sh,PASS,0,36,0,0,0,36,36,0,0,0,0
sley,t4101-apply-nonl.sh,PASS,0,12,0,0,0,12,12,0,0,0,0
sley,t4109-apply-multifrag.sh,FAIL,1,0,3,0,0,3,3,0,0,0,0
sley,t4117-apply-reject.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t4125-apply-ws-fuzz.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t4133-apply-filenames.sh,FAIL,1,2,2,0,0,4,4,0,0,0,0
sley,t4150-am.sh,PASS,0,87,0,0,0,87,87,0,0,0,0
sley,t4204-patch-id.sh,PASS,0,25,0,1,0,26,26,0,0,0,0
sley,t4212-log-corrupt.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t4257-am-interactive.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t5150-request-pull.sh,FAIL,1,2,8,0,0,10,10,0,0,0,0
sley,t5306-pack-nobase.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t5314-pack-cycle-detection.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t5322-pack-objects-sparse.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t5330-no-lazy-fetch-with-commit-graph.sh,FAIL,1,3,1,0,0,4,4,0,0,0,0
sley,t5401-update-hooks.sh,FAIL,1,11,2,0,0,13,13,0,0,0,0
sley,t5409-colorize-remote-messages.sh,FAIL,1,4,10,0,0,14,14,0,0,0,0
sley,t5505-remote.sh,PASS,0,129,0,1,0,130,130,0,0,0,0
sley,t5514-fetch-multiple.sh,PASS,0,25,0,0,0,25,25,0,0,0,0
sley,t5522-pull-symlink.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t5530-upload-pack-error.sh,FAIL,1,3,8,0,0,11,11,0,0,0,0
sley,t5538-push-shallow.sh,FAIL,1,2,6,0,0,8,8,0,0,0,0
sley,t5553-set-upstream.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t5582-fetch-negative-refspec.sh,FAIL,1,10,6,0,0,16,16,0,0,0,0
sley,t5606-clone-options.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t5615-alternate-env.sh,FAIL,1,7,2,0,0,9,9,0,0,0,0
sley,t5701-git-serve.sh,PASS,0,25,0,0,0,25,25,0,0,0,0
sley,t5750-bundle-uri-parse.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t5815-submodule-protos.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t6006-rev-list-format.sh,PASS,0,77,0,0,3,80,80,0,0,0,0
sley,t6014-rev-list-all.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t6030-bisect-porcelain.sh,PASS,0,97,0,0,0,97,97,0,0,0,0
sley,t6110-rev-list-sparse.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t6131-pathspec-icase.sh,SKIP,0,0,0,0,1,0,0,0,0,0,0
sley,t6300-for-each-ref.sh,PASS,0,370,0,0,59,429,429,0,0,0,0
sley,t6405-merge-symlinks.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t6414-merge-rename-nocruft.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t6423-merge-rename-directories.sh,FAIL,1,73,7,2,0,82,82,0,0,0,0
sley,t6431-merge-criscross.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t6439-merge-co-error-msgs.sh,FAIL,1,1,5,0,0,6,6,0,0,0,0
sley,t7003-filter-branch.sh,FAIL,1,35,12,0,1,48,48,0,0,0,0
sley,t7030-verify-tag.sh,PASS,0,0,0,0,16,16,16,0,0,0,0
sley,t7102-reset.sh,PASS,0,38,0,0,0,38,38,0,0,0,0
sley,t7112-reset-submodule.sh,PASS,0,70,0,12,0,82,82,0,0,0,0
sley,t7403-submodule-sync.sh,PASS,0,18,0,0,0,18,18,0,0,0,0
sley,t7414-submodule-mistakes.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t7423-submodule-symlinks.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t7503-pre-commit-and-pre-merge-commit-hooks.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t7511-status-index.sh,PASS,0,24,0,0,0,24,24,0,0,0,0
sley,t7519-status-fsmonitor.sh,FAIL,1,17,15,0,1,33,33,0,0,0,0
sley,t7601-merge-pull-config.sh,PASS,0,65,0,0,0,65,65,0,0,0,0
sley,t7609-mergetool--lib.sh,PASS,0,1,0,0,0,1,1,0,0,0,0
sley,t7702-repack-cyclic-alternate.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
