target,script,cell,status,raw_result,directive,description
"oracle","t3700-add.sh","58","PASS","ok","","path is case-insensitive"
"oracle","t5900-repo-selection.sh","1","PASS","ok","","find .git dir in worktree"
"oracle","t5900-repo-selection.sh","2","PASS","ok","","automagically add .git suffix"
"oracle","t5900-repo-selection.sh","3","PASS","ok","","automagically add .git suffix to worktree"
"oracle","t5900-repo-selection.sh","4","PASS","ok","","prefer worktree foo over bare foo.git"
"oracle","t5900-repo-selection.sh","5","PASS","ok","","prefer bare foo over bare foo.git"
"oracle","t5900-repo-selection.sh","6","PASS","ok","","disambiguate with full foo.git"
"oracle","t5900-repo-selection.sh","7","PASS","ok","","we are not fooled by non-git foo directory"
"oracle","t5900-repo-selection.sh","8","PASS","ok","","prefer inner .git over outer bare"
"oracle","t2105-update-index-gitfile.sh","1","PASS","ok","","submodule with absolute .git file"
"oracle","t2105-update-index-gitfile.sh","2","PASS","ok","","add gitlink to absolute .git file"
"oracle","t2105-update-index-gitfile.sh","3","PASS","ok","","submodule with relative .git file"
"oracle","t2105-update-index-gitfile.sh","4","PASS","ok","","add gitlink to relative .git file"
"oracle","t6133-pathspec-rev-dwim.sh","1","PASS","ok","","setup"
"oracle","t6133-pathspec-rev-dwim.sh","2","PASS","ok","","non-rev wildcard dwims to pathspec"
"oracle","t6133-pathspec-rev-dwim.sh","3","PASS","ok","","tree:path with metacharacters dwims to rev"
"oracle","t6133-pathspec-rev-dwim.sh","4","PASS","ok","","^{foo} with metacharacters dwims to rev"
"oracle","t6133-pathspec-rev-dwim.sh","5","PASS","ok","","@{foo} with metacharacters dwims to rev"
"oracle","t6133-pathspec-rev-dwim.sh","6","PASS","ok","",":/*.t from a subdir dwims to a pathspec"
"oracle","t6301-for-each-ref-errors.sh","1","PASS","ok","","setup"
"oracle","t6301-for-each-ref-errors.sh","2","PASS","ok","","Broken refs are reported correctly"
"oracle","t6301-for-each-ref-errors.sh","3","PASS","ok","","NULL_SHA1 refs are reported correctly"
"oracle","t6301-for-each-ref-errors.sh","4","PASS","ok","","Missing objects are reported correctly"
"oracle","t6301-for-each-ref-errors.sh","5","PASS","ok","","ahead-behind requires an argument"
"oracle","t6301-for-each-ref-errors.sh","6","PASS","ok","","missing ahead-behind base"
"oracle","t3430-rebase-merges.sh","1","PASS","ok","","setup"
"oracle","t3430-rebase-merges.sh","2","PASS","ok","","create completely different structure"
"oracle","t3430-rebase-merges.sh","3","PASS","ok","","generate correct todo list"
"oracle","t3430-rebase-merges.sh","4","PASS","ok","","`reset` refuses to overwrite untracked files"
"oracle","t3430-rebase-merges.sh","5","PASS","ok","","`reset` rejects trees"
"oracle","t3430-rebase-merges.sh","6","PASS","ok","","`reset` only looks for labels under refs/rewritten/"
"oracle","t3430-rebase-merges.sh","7","PASS","ok","","failed `merge -C` writes patch (may be rescheduled, too)"
"oracle","t3430-rebase-merges.sh","8","PASS","ok","","failed `merge <branch>` does not crash"
"oracle","t3430-rebase-merges.sh","9","PASS","ok","","merge -c commits before rewording and reloads todo-list"
"oracle","t3430-rebase-merges.sh","10","PASS","ok","","merge -c rewords when a strategy is given"
"oracle","t3430-rebase-merges.sh","11","PASS","ok","","with a branch tip that was cherry-picked already"
"oracle","t3430-rebase-merges.sh","12","PASS","ok","","--no-rebase-merges countermands --rebase-merges"
"oracle","t3430-rebase-merges.sh","13","PASS","ok","","do not rebase cousins unless asked for"
"oracle","t3430-rebase-merges.sh","14","PASS","ok","","rebase.rebaseMerges=rebase-cousins is equivalent to --rebase-merges=rebase-cousins"
"oracle","t3430-rebase-merges.sh","15","PASS","ok","","--no-rebase-merges overrides rebase.rebaseMerges=no-rebase-cousins"
"oracle","t3430-rebase-merges.sh","16","PASS","ok","","--rebase-merges overrides rebase.rebaseMerges=rebase-cousins"
"oracle","t3430-rebase-merges.sh","17","PASS","ok","","refs/rewritten/* is worktree-local"
"oracle","t3430-rebase-merges.sh","18","PASS","ok","","--abort cleans up refs/rewritten"
"oracle","t3430-rebase-merges.sh","19","PASS","ok","","--quit cleans up refs/rewritten"
